code,time_zone_id,country,region,latitude,longitude
DMM,Asia/Riyadh,Saudi Arabia,Middle East,,
ITO,Pacific/Honolulu,United States,Hawaii,19.72026306,-155.0484703
ITP,America/Sao_Paulo,Brazil,South America,,
IWS,America/Chicago,United States,Domestic,29.81819444,-95.67261111
IXA,Asia/Kolkata,India,Pacific,,
IXB,Asia/Kolkata,India,Pacific,,
IXC,Asia/Kolkata,India,Pacific,,
IXD,Asia/Kolkata,India,Pacific,38.83090472,-94.89030333
IXE,Asia/Kolkata,India,Pacific,,
IXK,Asia/Kolkata,India,Pacific,,
MUV,America/New_York,United States,Domestic,,
LSW,Asia/Jakarta,Indonesia,Pacific,,
LSX,Asia/Jakarta,Indonesia,Pacific,,
IXM,Asia/Kolkata,India,Pacific,,
AAT,Asia/Urumqi,China,Pacific,41.483,-120.5653611
ABB,Africa/Lagos,Nigeria,Africa,,
YCV,America/Montreal,Canada,Canada,,
AFS,Asia/Samarkand,Uzbekistan,Pacific,,
AIC,Pacific/Majuro,Marshall Islands,Pacific,,
XYP,Europe/Stockholm,Sweden,Europe,,
TRP,America/Anchorage,United States,Alaska,,
LSZ,Europe/Zagreb,Croatia,Europe,,
LTA,Africa/Johannesburg,South Africa,Africa,,
LTB,Australia/Hobart,Australia,Australia/New Zealand,,
LTC,Africa/Ndjamena,Chad,Africa,,
LTD,Africa/Tripoli,Libya,Africa,,
LRF,America/Chicago,United States,Domestic,,
LTG,Asia/Kathmandu,Nepal,Pacific,,
YMC,America/Montreal,Canada,Canada,,
LSC,America/Santiago,Chile,South America,,
LTI,Asia/Hovd,Mongolia,Pacific,,
IXR,Asia/Kolkata,India,Pacific,,
AGG,Pacific/Port_Moresby,Papua New Guinea,Pacific,,
IXU,Asia/Kolkata,India,Pacific,,
LSE,America/Chicago,United States,Domestic,43.87937972,-91.25653778
LSL,America/Costa_Rica,Costa Rica,Mexico/Central America,,
LSP,America/Caracas,"Venezuela, Bolivarian Republic of",South America,,
CIV,America/Sitka,United States,Alaska,,
CLC,America/Chicago,United States,Domestic,,
CRJ,Australia/Adelaide,Australia,Australia/New Zealand,,
CWS,America/Los_Angeles,United States,Domestic,,
DMO,America/Chicago,United States,Domestic,38.70688889,-93.17611111
DRS,Europe/Berlin,Germany,Europe,,
IXW,Asia/Kolkata,India,Pacific,,
IXY,Asia/Kolkata,India,Pacific,,
IXZ,Asia/Kolkata,India,Pacific,,
JGA,Asia/Kolkata,India,Pacific,,
JGB,Asia/Kolkata,India,Pacific,,
JGD,Asia/Shanghai,China,Pacific,,
NDP,America/Chicago,United States,Domestic,,
LSS,America/Guadeloupe,Guadeloupe,Caribbean,,
LST,Australia/Hobart,Australia,Australia/New Zealand,,
LSY,Australia/Sydney,Australia,Australia/New Zealand,,
LVA,Europe/Paris,France,Europe,,
JOJ,America/Cambridge_Bay,Canada,Canada,,
LUW,Asia/Makassar,Indonesia,Pacific,,
LVB,America/Sao_Paulo,Brazil,South America,,
LVL,America/New_York,United States,Domestic,,
LVM,America/Denver,United States,Domestic,45.69938889,-110.4483056
LVS,America/Denver,United States,Domestic,35.65422222,-105.1423889
NIE,America/Anchorage,United States,Alaska,,
JSH,Europe/Athens,Greece,Europe,,
JSI,Europe/Athens,Greece,Europe,,
KAB,Africa/Harare,Zimbabwe,Africa,,
LBE,America/New_York,United States,Domestic,40.27594,-79.40479722
LBF,America/Chicago,United States,Domestic,41.12621194,-100.6836542
ZFB,America/Blanc-Sablon,Canada,Canada,,
ALM,America/Denver,United States,Domestic,32.83994444,-105.9905833
AOL,America/Argentina/Cordoba,Argentina,South America,,
ASH,America/New_York,United States,Domestic,42.78176306,-71.51477944
BGL,Asia/Kathmandu,Nepal,Pacific,,
BGT,America/Phoenix,United States,Domestic,,
BJO,America/La_Paz,"Bolivia, Plurinational State of",South America,,
CSW,America/Porto_Velho,Brazil,South America,,
DAO,Pacific/Port_Moresby,Papua New Guinea,Pacific,,
FCT,America/Los_Angeles,United States,Domestic,,
FLU,America/New_York,United States,Domestic,,
JCX,America/Los_Angeles,United States,Domestic,,
JHW,America/New_York,United States,Domestic,42.15336861,-79.258035
JKH,Europe/Athens,Greece,Europe,,
JKL,Europe/Athens,Greece,Europe,37.59386111,-83.31725
JKR,Asia/Kathmandu,Nepal,Pacific,,
AMU,Pacific/Port_Moresby,Papua New Guinea,Pacific,,
AMY,Indian/Antananarivo,Madagascar,Africa,,
AOB,Pacific/Port_Moresby,Papua New Guinea,Pacific,,
DGA,America/Belize,Belize,Mexico/Central America,,
ZFZ,America/New_York,United States,Domestic,,
LDI,Africa/Dar_es_Salaam,"Tanzania, United Republic of",Africa,,
BOF,America/New_York,United States,Domestic,,
LDJ,America/New_York,United States,Domestic,40.61744722,-74.24459417
LWK,Europe/London,United Kingdom,Europe,,
LDY,Europe/London,United Kingdom,Europe,,
BAU,America/Sao_Paulo,Brazil,South America,,
DGK,Africa/Maputo,Mozambique,Africa,,
LEJ,Europe/Berlin,Germany,Europe,,
COL,Europe/London,United Kingdom,Europe,,
CUK,America/Belize,Belize,Mexico/Central America,,
LPW,America/Sitka,United States,Alaska,,
LFT,America/Chicago,United States,Domestic,30.20527972,-91.987655
LTH,America/Los_Angeles,United States,Domestic,,
LSR,America/Nome,United States,Alaska,,
LWA,Asia/Manila,Philippines,Pacific,,
ADC,Pacific/Port_Moresby,Papua New Guinea,Pacific,46.45026972,-95.21095472
AFT,Pacific/Guadalcanal,Solomon Islands,Pacific,,
AGQ,Europe/Athens,Greece,Europe,,
AGV,America/Caracas,"Venezuela, Bolivarian Republic of",South America,,
AGX,Asia/Kolkata,India,Pacific,,
AIE,Pacific/Port_Moresby,Papua New Guinea,Pacific,,
LXG,Asia/Vientiane,Lao People's Democratic Republic,Pacific,,
DOK,Europe/Kiev,Ukraine,Europe,,
DUS,Europe/Berlin,Germany,Europe,,
FIE,Europe/London,United Kingdom,Europe,,
HDA,America/Sitka,United States,Alaska,,
NQT,Europe/London,United Kingdom,Europe,,
OHE,Asia/Shanghai,China,Pacific,,
OHH,Asia/Srednekolymsk,Russian Federation,Europe,,
NWS,America/New_York,United States,Domestic,,
WOO,America/Anchorage,United States,Alaska,,
LXN,America/Chicago,United States,Domestic,40.791,-99.77727778
TIS,Australia/Brisbane,Australia,Australia/New Zealand,,
LXR,Africa/Cairo,Egypt,Africa,,
DDI,Australia/Brisbane,Australia,Australia/New Zealand,,
DOI,Pacific/Port_Moresby,Papua New Guinea,Pacific,,
LXS,Europe/Athens,Greece,Europe,,
LFW,Africa/Lome,Togo,Africa,,
LGA,America/New_York,United States,Domestic,40.77724306,-73.87260917
LGB,America/Los_Angeles,United States,Domestic,33.81772222,-118.1516111
AIY,America/New_York,United States,Domestic,39.36002778,-74.45608333
BAJ,Pacific/Port_Moresby,Papua New Guinea,Pacific,,
